Village id,Pop 1980,Pop 1990,Pop 2000,Pop 2010,log pop 1980,log pop 1990,log pop 2000,log pop 2010,Delta pop 90-80,Delta pop 00-90,Delta pop 10-00,Road Investment Ever (Treatment group),Road Investment between 1990-2000,Road Investment between 2000-2010 ,,,,
1,64595,71055,74608,99229,11.07589229,11.1712095,11.22000302,11.50518559,0.100007741,0.050003518,0.330004825,1,0,1, ,,,
2,9770,10747,14508,14943,9.187071745,9.282381925,9.5824555,9.611998242,0.1,0.349958128,0.029983457,1,1,0,,,,  
3,9848,10833,14625,15064,9.195023668,9.29035231,9.590487672,9.62006307,0.100020309,0.35004154,0.030017094,1,1,0,,,,
4,79942,87937,92334,95104,11.28905665,11.38437593,11.43316772,11.46272631,0.100010007,0.050001706,0.029999783,0,0,0,,,,
5,17929,19722,26625,27424,9.794174793,9.889490043,10.1896059,10.21917382,0.100005578,0.350015211,0.03000939,1,1,0,,,,
6,63543,69898,73393,75594,11.05947212,11.15479232,11.20358384,11.23313219,0.100011016,0.050001431,0.029989236,0,0,0,,,,
7,59446,65390,68660,70720,10.99282362,11.08812462,11.13692207,11.1664837,0.099989907,0.050007646,0.030002913,0,0,0,, ,,
8,14796,16276,21973,22632,9.602112153,9.697446909,9.997569706,10.02712011,0.100027034,0.350024576,0.029991353,1,1,0,,,,
9,66408,73049,98616,101574,11.10357281,11.19888573,11.4989888,11.52854288,0.100003012,0.349997947,0.029995133,1,1,0,,,,
10,28456,31302,32866,33852,10.25611431,10.35143727,10.40019397,10.42975336,0.100014057,0.049964858,0.030000609,0,0,0,,,,
11,26358,28994,30444,31358,10.17952711,10.27484419,10.32364421,10.3532247,0.100007588,0.050010347,0.030022336,0,0,0,,,,
12,56452,62098,65202,67158,10.941146,11.03646906,11.08524542,11.11480333,0.100014171,0.049985507,0.02999908,0,0,0,,,,
13,3558,3914,4110,4233,8.176953868,8.272315148,8.321178307,8.350666241,0.100056211,0.050076648,0.029927007,0,0,0,,,,
14,46306,50937,68765,70828,10.74302682,10.83834485,11.13845017,11.16800968,0.100008638,0.350000982,0.030000727,1,1,0,,,,
15,30581,33639,35321,46977,10.32813418,10.42344139,10.47223297,10.7574134,0.09999673,0.050001486,0.330001982,1,0,1,,,,
16,91660,100826,136115,140198,11.42584136,11.52115154,11.8212554,11.85081099,0.1,0.349999008,0.029996694,1,1,0,,,,
17,26336,28970,30418,31331,10.1786921,10.27401609,10.32278982,10.3523633,0.100015188,0.049982741,0.030015123,0,0,0,,,,
18,16018,17619,18500,19055,9.681468369,9.776733144,9.825526011,9.855084813,0.099950056,0.050002838,0.03,0,0,0,,,,
19,8524,9377,9846,10141,9.050640993,9.146015161,9.19482056,9.224341892,0.100070389,0.050015997,0.029961406,0,0,0,,,,
20,53730,59103,62058,63920,10.89172678,10.98703696,11.03582471,11.06538758,0.1,0.049997462,0.03000419,0,0,0,,,,
21,22942,25236,26498,27293,10.04072457,10.13602683,10.18482454,10.21438554,0.099991282,0.050007925,0.030002264,0,0,0,,,,
22,42445,46690,49025,65203,10.6559644,10.75128529,10.80008565,11.08526076,0.10001178,0.050010709,0.329994901,1,0,1,,,,
23,1766,1943,2623,2702,7.476472381,7.571988449,7.87207398,7.901747519,0.100226501,0.349974267,0.030118185,1,1,0,,,,
24,4655,5121,6913,7120,8.44569719,8.541105011,8.841158976,8.870663004,0.100107411,0.349931654,0.029943585,1,1,0,,,,
25,72834,80117,84123,111884,11.19593816,11.29124335,11.34003529,11.6252179,0.099994508,0.050001872,0.330004874,1,0,1,,,,
26,32986,36285,38099,39242,10.40383851,10.49915971,10.54794331,10.57750288,0.100012126,0.04999311,0.030000787,0,0,0,,,,
27,70996,78096,82001,84461,11.17037882,11.26569412,11.31448672,11.34404517,0.100005634,0.050002561,0.029999634,0,0,0,,,,
28,60884,66973,70322,72431,11.01672569,11.11204483,11.16083997,11.19038966,0.100009855,0.050005226,0.029990615,0,0,0,,,,
29,48266,53092,55746,57418,10.78448266,10.87978154,10.92856094,10.95811312,0.099987569,0.049988699,0.029993183,0,0,0,,,,
30,24332,26766,28104,28947,10.09954764,10.1948877,10.24366719,10.27322185,0.100032879,0.049988792,0.02999573,0,0,0,,,,
31,7732,8505,11482,11826,8.95312284,9.048409505,9.348535871,9.378055776,0.099974133,0.350029394,0.029959937,1,1,0,,,,
32,43912,48303,50718,52240,10.68994291,10.78524895,10.83403616,10.86360376,0.099995445,0.049996895,0.03000907,0,0,0,,,,
33,43878,48266,50679,52199,10.68916833,10.78448266,10.8332669,10.86281862,0.100004558,0.049993784,0.029992699,0,0,0,,,,
34,85441,93985,98684,131250,11.35558136,11.45089047,11.4996781,11.78485918,0.09999883,0.04999734,0.330002837,1,0,1,,,,
35,5012,5514,5790,5963,8.519590316,8.615045592,8.663887571,8.693328989,0.100159617,0.050054407,0.029879102,0,0,0,,,,
36,64403,70843,95638,98507,11.07291549,11.16822144,11.46832551,11.49788289,0.099995342,0.349999294,0.029998536,1,1,0,,,,
37,2142,2356,3181,3276,7.669495251,7.764720545,8.064950892,8.094378445,0.099906629,0.350169779,0.029864822,1,1,0,,,,
38,55016,60518,63543,65450,10.91537933,11.01069612,11.05947212,11.08904177,0.100007271,0.049985128,0.030011174,0,0,0,,,,
39,68131,74944,78691,104659,11.1291876,11.22449645,11.27328407,11.55846273,0.099998532,0.049997331,0.329999619,1,0,1,,,,
40,17095,18805,19745,26261,9.746541302,9.841878071,9.890655574,10.17584023,0.100029248,0.049986706,0.330007597,1,0,1,,,,
41,44233,48656,51089,52622,10.6972264,10.79253041,10.84132449,10.87088956,0.099993218,0.05000411,0.030006459,0,0,0,,,,
42,46658,51323,53890,55506,10.75059968,10.84589427,10.89470021,10.9242464,0.099982854,0.050016562,0.029987011,0,0,0,,,,
43,40546,44601,46831,48236,10.61019241,10.70551156,10.75430066,10.78386091,0.100009865,0.049998879,0.030001495,0,0,0,,,,
44,29364,32301,33916,34934,10.28752471,10.38285347,10.43164216,10.46121585,0.100020433,0.049998452,0.030015332,0,0,0,,,,
45,43079,47387,63972,65891,10.67079092,10.76610321,11.06620077,11.09575714,0.100002321,0.349990504,0.029997499,1,1,0,,,,
